iter,im_loss,no_replay_loss,replay_loss,ponder_loss,energy_no_replay,energy_replay,energy_start_no_replay,energy_start_replay,mean_last_dist
0,154.00755310058594,nan,nan,nan,nan,nan,nan,nan,10.448226928710938
10,0.6212509870529175,nan,nan,nan,nan,nan,nan,nan,0.46456512808799744
20,1.0435848236083984,1.0837898254394531,1.0033798217773438,nan,-0.08893734961748123,-0.0851547047495842,-0.07526132464408875,0.0420052707195282,0.7834775447845459
30,0.45752716064453125,0.4712687134742737,0.4437856078147888,nan,-0.0916181355714798,-0.09117628633975983,-0.07495862245559692,-0.08598080277442932,0.6230526566505432
40,0.08383725583553314,0.0850665345788002,0.08260796964168549,nan,-0.08927208185195923,-0.08846202492713928,-0.07585249841213226,-0.08555807173252106,0.2680894136428833
50,0.039724938571453094,0.03950178623199463,0.03994809091091156,nan,-0.0900082141160965,-0.08747267723083496,-0.07631884515285492,-0.0868479460477829,0.19452528655529022
60,0.012623747810721397,0.0134549830108881,0.011792512610554695,nan,-0.08910030871629715,-0.08663897216320038,-0.07548591494560242,-0.0864737331867218,0.0953470766544342
70,0.003999847453087568,0.0050069307908415794,0.0029927645809948444,nan,-0.08841980993747711,-0.08922180533409119,-0.07539957016706467,-0.08916319906711578,0.05344057083129883
80,0.0022783775348216295,0.002837028354406357,0.0017197264824062586,nan,-0.08984914422035217,-0.08707480132579803,-0.07701945304870605,-0.08704835176467896,0.04115273058414459
90,0.0015800755936652422,0.0020693715196102858,0.001090779434889555,nan,-0.08828515559434891,-0.09004925191402435,-0.07381722331047058,-0.09003791213035583,0.029442137107253075
100,0.0011489522876217961,0.0014703446067869663,0.0008275602012872696,nan,-0.09008396416902542,-0.08965364098548889,-0.07657447457313538,-0.08964613080024719,0.026448549702763557
110,0.0012062566820532084,0.0017939875833690166,0.0006185257807374001,nan,-0.08932745456695557,-0.08792973309755325,-0.076067253947258,-0.08792664110660553,0.023849714547395706
120,0.0009483948233537376,0.0013657138915732503,0.0005310758715495467,nan,-0.08819679170846939,-0.08692994713783264,-0.07479119300842285,-0.08692820370197296,0.022107519209384918
